Rank,Address_Nametag,Quantity,Percentage,Value
1	 Arbitrum Foundation: DAO Treasury  3,166,080,268.017626864728014866	31.6608%
$2,591,531,681.78
2	 Arbitrum Foundation: Vesting Budget Wallet	503,678,612.634968628793064112	5.0368%
$412,276,054.80
3	0xf977814e90da44bfa03b6295a0616a897441acec	478,087,252.688	4.7809%
$391,328,758.94
4	 0xae8cbcef7de8664c3ff5bfc58536c183ffa60b51	225,000,000	2.2500%
$184,169,250.00
5	0xf7f468b184a48f6ca37eeffe12733ee1c16b6e26	162,475,765.120058867781431632	1.6248%
$132,991,288.02
6	0x1190cea3e2c8727218768bfb990c3228aa06dfa9	147,625,173.533134300000000001	1.4763%
$120,835,633.29
7	0x62383739d68dd0f844103db8dfb05a7eded5bbe6	91,761,759.672965014165333355	0.9176%
$75,109,753.15
8	 Arbitrum Foundation: ARB Gateway	63,681,189.983228399306231557	0.6368%
$52,124,964.44
9	0xe2d884a497082795e61883506c92fbbdf7a89fba	56,032,436	0.5603%
$45,864,229.84
10	Bybit: Hot Wallet	54,920,758.226279013829911093	0.5492%
$44,954,288.23
11	0xee5b5b923ffce93a870b3104b7ca09c3db80047a	48,000,006	0.4800%
$39,289,444.91
12	 Hedgey Finance: Vesting	47,861,940.3	0.4786%
$39,176,433.99
13	0x2a006a43e550b10d69b7a54454cd7a05255af6d4	47,334,622	0.4733%
$38,744,808.15
14	0x6f8a3ec70b08bbc5440403269a8ab2dc1f5f9068	46,740,922	0.4674%
$38,258,846.88
15	 0xd6c8a4e72584f24bd5517afed6c01d21477c17f6	46,321,378.365031371206935888	0.4632%
$37,915,437.83
16	0xe9f75301227edaab0fdc1eff65296e041f01fadc	46,182,128.437500000000000001	0.4618%
$37,801,457.59
17	0xa5f7b4c74cb811628f6a4db0cbf1b0926d49dc3e	45,100,344	0.4510%
$36,915,984.57
18	0x8d88fd80826ac6bf934180d7bfb9dc1c8a73da74	44,109,983	0.4411%
$36,105,344.38
19	0x3fb9781946583f4ba1cd7fa3cd2c67ab5b40fd22	44,093,828	0.4409%
$36,092,121.03
20	0x741a02fc364fd8b32f496e51f0b80a384573f07d	43,956,002	0.4396%
$35,979,306.32
21	0x2e383d51d72507e8c8e803f1a7d6651cbe65b151	43,852,487.5	0.4385%
$35,894,576.59
22	0x115ae3793b6fbb1e018b8aefda70554f74e98e19	42,997,525	0.4300%
$35,194,764.14
23	0x607d32a71744f28447dd27688f6d5097614f4794	42,048,332.25	0.4205%
$34,417,821.40
24	0x5872a991fa9a65bc85e755118d2fd08b54e24287	42,017,452	0.4202%
$34,392,544.99
25	0x0a851b159f2baad2626dc326dde46db9faaf947d	41,009,523	0.4101%
$33,567,524.86
26	0x8bc70e81652e2ea8fe06a043d97020f23fc90da1	40,929,443	0.4093%
$33,501,976.98
27	0x5f0c11f66b10ab70fadfed3c499a19e3bce4c534	40,518,561.75	0.4052%
$33,165,658.35
28	0x35b1fb2d3f86b8bd6456101b1f2a496773c1123d	40,365,520	0.4037%
$33,040,389.09
29	0xf95f6efc42db8d63d7313326d0c9f54f4d48d36d	39,884,509	0.3988%
$32,646,667.15
30	0x04ee4dd8ccb5651550fb8098203155b8d8943596	39,504,211	0.3950%
$32,335,381.83
31	0xab0e27790a4eb0db1ea75b615fa54b36fcf09b5f	38,492,031	0.3849%
$31,506,882.13
32	0xa8b2b639f2a249677dcd3b4747ebf21fff7564d8	37,500,000	0.3750%
$30,694,875.00
33	0x6acc02271d83b40c2d77be3633948e09b4226aa8	37,413,267	0.3741%
$30,623,881.44
34	0x57bf071af16ce0d05ce0f405b41ca0274c741c15	36,949,220	0.3695%
$30,244,045.05
35	 0x33225c65a85195e7f57d07efd8ca4701c314be33	36,354,297.29	0.3635%
$29,757,082.96
36	Binance: Hot Wallet 1	35,391,260.939136005609412467	0.3539%
$28,968,808.82
37	0x253d49374a5b1e2040dcfe725e748ef98ec57120	35,084,124	0.3508%
$28,717,408.02
38	0xe1f30c44bd1c8d537bacb5ce34740578158b006f	35,000,000	0.3500%
$28,648,550.00
39	0x7cec5c3e11db6e585487d1a4bfe661badaa9d2cf	34,290,236	0.3429%
$28,067,586.87
40	0xfc1ca88bd8a1776b0148adabf57d08eb645091f1	34,217,760	0.3422%
$28,008,263.09
41	0xf64821dd9761046441bf485d90ed866ba53a1f81	34,180,391	0.3418%
$27,977,675.45
42	0x31ec306b7559a6e7c576640d0f5834832800433d	33,443,448.75	0.3344%
$27,374,466.11
43	0xcbd141c29c7a7c4bc21cf66d2345219e43afb285	32,986,758	0.3299%
$27,000,651.03
44	0x5a52e96bacdabb82fd05763e25335261b270efcb	32,730,788.237	0.3273%
$26,791,132.10
45	0x221cc8f105d339180ebc85af2153f35c6802c4d3	32,667,540.75	0.3267%
$26,739,362.13
46	0x59cf8b6970248fcac2105cd925677e4418ebcc04	32,656,458.75	0.3266%
$26,730,291.18
47	0xc602df8a1be5b02f8a2d1e625069d5cdedfbb31f	32,628,754.56	0.3263%
$26,707,614.47
48	0x9d05f7018e4d3e8c345b3704ab1e5dcbacd85027	32,443,215	0.3244%
$26,555,744.77
49	0xf13358a7923f8a9a58b3d29787f289404a75db96	32,323,685	0.3232%
$26,457,905.88
50	0xf174a5c1e171c144ce94d9589723693903f57232	32,253,309.000000000000000001	0.3225%
$26,400,301.02